Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,"Days to 
Deliver","Delivery 
Company","Price per 
Unit",Delivery charges,Units Sold,Total Sales,Operating Profit,Operating Margin
Gyaan Beverages,21102,45305,North,Delhi,New Delhi,Maaza,25,Delhivery,20,10,12000,360000,180000,0.5
Gyaan Beverages,21102,45305,North,Madhya Pradesh,Bhopal,Maaza,34,Blue Dart,20,15,10000,350000,105000,0.3
Gyaan Beverages,21102,45305,North,Haryana,Chandigarh,Mirinda,48,Xpress Bees,18,12,10000,300000,105000,0.35
Gyaan Beverages,21102,45305,North,Uttarakhand,Dehradun,Mirinda,20,Delhivery,18,10,8500,238000,83300,0.35
Gyaan Beverages,21102,45305,North,Madhya Pradesh,Bhopal,Limca,26,Delhivery,18,10,9000,252000,75600,0.3
Gyaan Beverages,21102,45305,North,Madhya Pradesh,Bhopal,Coca-Cola,43,DTDC,30,15,10000,450000,112500,0.25
Gyaan Beverages,21102,45334,North,Uttar Pradesh,Lucknow,Frooti,19,Blue Dart,20,15,12500,437500,218750,0.5
Gyaan Beverages,21102,45334,North,Punjab,Chandigarh,Maaza,41,Blue Dart,20,15,9000,315000,94500,0.3
Gyaan Beverages,21102,45334,North,Punjab,Chandigarh,Sprite,34,Delhivery,25,10,9500,332500,116375,0.35
Gyaan Beverages,21102,45334,North,Uttar Pradesh,Lucknow,Sprite,42,Xpress Bees,25,12,8250,305250,106837.5,0.35
Gyaan Beverages,21102,45334,North,Uttarakhand,Dehradun,Coca-Cola,37,Xpress Bees,30,12,9000,378000,113400,0.3
Gyaan Beverages,21102,45334,North,Madhya Pradesh,Bhopal,Sprite,59,Xpress Bees,25,12,10000,370000,92500,0.25
Gyaan Beverages,21102,45361,North,Himachal Pradesh,Shimla,Limca,27,Xpress Bees,18,12,12200,366000,183000,0.5
Gyaan Beverages,21102,45361,North,Punjab,Chandigarh,Pepsi,44,Blue Dart,30,15,9250,416250,124875,0.3
Gyaan Beverages,21102,45361,North,Madhya Pradesh,Bhopal,Frooti,44,DTDC,20,15,9500,332500,116375,0.35
Gyaan Beverages,21102,45361,North,Uttarakhand,Dehradun,Maaza,36,DTDC,20,15,8000,280000,98000,0.35
Gyaan Beverages,21102,45361,North,Uttarakhand,Dehradun,Mirinda,37,DTDC,18,15,8500,280500,84150,0.3
Gyaan Beverages,21102,45361,North,Delhi,New Delhi,Coca-Cola,46,Delhivery,30,10,9500,380000,95000,0.25
Gyaan Beverages,21102,45393,North,Uttar Pradesh,Lucknow,Pepsi,56,Blue Dart,30,15,12000,540000,270000,0.5
Gyaan Beverages,21102,45393,North,Madhya Pradesh,Bhopal,Coca-Cola,24,DTDC,30,15,9000,405000,121500,0.3
Gyaan Beverages,21102,45393,North,Himachal Pradesh,Shimla,Limca,29,Blue Dart,18,15,9000,297000,103950,0.35
Gyaan Beverages,21102,45393,North,Delhi,New Delhi,Maaza,38,Delhivery,20,10,8250,247500,86625,0.35
Gyaan Beverages,21102,45393,North,Delhi,New Delhi,Coca-Cola,16,Blue Dart,30,15,8250,371250,111375,0.3
Gyaan Beverages,21102,45393,North,Punjab,Chandigarh,Frooti,32,DTDC,20,15,9500,332500,83125,0.25
Gyaan Beverages,21102,45422,North,Delhi,New Delhi,Pepsi,18,Delhivery,30,10,12200,488000,244000,0.5
Gyaan Beverages,21102,45422,North,Punjab,Chandigarh,Mirinda,39,DTDC,18,15,9250,305250,91575,0.3
Gyaan Beverages,21102,45422,North,Uttarakhand,Dehradun,Coca-Cola,16,Xpress Bees,30,12,9000,378000,132300,0.35
Gyaan Beverages,21102,45422,North,Uttarakhand,Dehradun,Pepsi,22,Blue Dart,30,15,8500,382500,133875,0.35
